onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
4786.95	1.14	incorrect	control	LS1	h34_p17_i_up_left.jpg	97
4832.982	2.08	incorrect	control	LS1	h95_p32_k_down_q2_right.jpg	98
4878.846	1.968	correct	control	LS1	h26_p43_i_up_right.jpg	97
4924.878	1.119	correct	control	LS1	h77_p16_i_down_right.jpg	97
4970.742	1.022	correct	control	LS1	h77_p42_k_down_q1_left.jpg	98
5016.941	1.499	incorrect	control	LS1	h95_p31_i_down_right.jpg	98
5062.805	1.354	incorrect	control	LS1	h102_p20_i_down_left.jpg	97
5108.67	1.465	correct	control	LS1	h102_p40_k_down_q2_right.jpg	97
5199.732	1.002	incorrect	control	LS2	h77_p42_k_down_q1_left.jpg	97
5245.597	1.177	correct	control	LS2	h26_p48_i_up_right.jpg	97
5291.628	1.431	correct	control	LS2	h95_p37_i_down_left.jpg	98
5337.493	0.775	correct	control	LS2	h102_p43_i_down_left.jpg	98
5383.525	n/a	to late	control	LS2	h26_p20_k_up_q2_right.jpg	n/a
5434.393	0.831	correct	control	LS2	h102_p40_k_down_q2_right.jpg	97
5480.424	1.676	correct	control	LS2	h34_p41_k_up_q4_left.jpg	98
5526.289	1.643	incorrect	control	LS2	h95_p32_k_down_q2_right.jpg	98
5572.32	0.826	correct	control	LS2	h34_p21_i_up_right.jpg	97
5618.185	1.081	correct	control	LS2	h77_p35_i_down_left.jpg	98
5709.414	1.496	correct	control	LS3	h34_p17_i_up_left.jpg	98
5755.279	0.92	correct	control	LS3	h102_p40_k_down_q2_right.jpg	97
5801.31	0.855	correct	control	LS3	h26_p43_i_up_right.jpg	97
5847.175	0.758	correct	control	LS3	h95_p32_k_down_q2_right.jpg	97
5893.039	0.661	correct	control	LS3	h26_p20_k_up_q2_right.jpg	97
5938.904	0.964	correct	control	LS3	h77_p42_k_down_q1_left.jpg	98
5984.936	0.754	correct	control	LS3	h34_p41_k_up_q4_left.jpg	98
6030.8	1.057	incorrect	control	LS3	h77_p16_i_down_right.jpg	98
6076.832	0.783	correct	control	LS3	h102_p20_i_down_left.jpg	98
6122.863	0.718	incorrect	control	LS3	h95_p31_i_down_right.jpg	98
6213.925	2.092	incorrect	control	LS4	h77_p42_k_down_q1_left.jpg	97
6259.79	0.973	incorrect	control	LS4	h95_p32_k_down_q2_right.jpg	98
6305.655	0.908	correct	control	LS4	h26_p20_k_up_q2_right.jpg	97
6351.686	0.842	correct	control	LS4	h102_p40_k_down_q2_right.jpg	97
6397.551	0.554	correct	control	LS4	h95_p37_i_down_left.jpg	98
6443.416	0.936	incorrect	control	LS4	h34_p41_k_up_q4_left.jpg	97
6489.447	1.222	correct	control	LS4	h102_p43_i_down_left.jpg	98
6535.479	0.932	correct	control	LS4	h77_p35_i_down_left.jpg	98
6581.51	0.723	correct	control	LS4	h26_p48_i_up_right.jpg	97
6627.375	1.616	correct	control	LS4	h34_p21_i_up_right.jpg	97
