onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
828.041	9.344	correct	learning	LS4	PICTURE_576.jpg	c	hit
837.385	10.537	correct	learning	LS4	PICTURE_52.jpg	c	hit
847.922	9.497	correct	learning	LS4	PICTURE_581.jpg	i	correct rejection
857.419	8.459	correct	learning	LS4	PICTURE_594.jpg	c	hit
865.878	16.850	correct	learning	LS4	PICTURE_605.jpg	c	hit
882.728	7.335	correct	learning	LS4	PICTURE_594.jpg	i	correct rejection
890.063	9.332	correct	control	LS1	PICTURE_718.jpg	c	hit
899.395	8.434	correct	control	LS1	PICTURE_2.jpg	i	correct rejection
907.829	10.894	correct	control	LS1	PICTURE_292.jpg	c	hit
918.723	6.484	correct	control	LS1	PICTURE_430.jpg	c	hit
925.207	8.470	correct	control	LS1	PICTURE_718.jpg	i	correct rejection
933.677	11.422	correct	control	LS1	PICTURE_286.jpg	i	correct rejection
945.099	6.858	incorrect	control	LS1	PICTURE_430.jpg	i	false alarm
951.957	10.610	correct	control	LS1	PICTURE_292.jpg	i	correct rejection
962.567	11.804	correct	control	LS1	PICTURE_2.jpg	c	hit
974.371	12.037	correct	control	LS1	PICTURE_286.jpg	c	hit
986.408	8.532	correct	control	LS2	PICTURE_292.jpg	i	correct rejection
994.940	8.766	correct	control	LS2	PICTURE_286.jpg	i	correct rejection
1003.706	9.646	correct	control	LS2	PICTURE_430.jpg	i	correct rejection
1013.352	9.566	correct	control	LS2	PICTURE_286.jpg	c	hit
1022.918	10.118	correct	control	LS2	PICTURE_292.jpg	c	hit
1033.036	6.361	correct	control	LS2	PICTURE_430.jpg	c	hit
1039.397	8.840	correct	control	LS2	PICTURE_718.jpg	i	correct rejection
1048.237	10.033	correct	control	LS2	PICTURE_2.jpg	i	correct rejection
1058.270	7.714	correct	control	LS2	PICTURE_718.jpg	c	hit
1065.984	12.753	correct	control	LS2	PICTURE_2.jpg	c	hit
1078.737	10.050	correct	control	LS3	PICTURE_731.jpg	i	correct rejection
1088.787	7.072	incorrect	control	LS3	PICTURE_733.jpg	i	false alarm
1095.859	9.691	correct	control	LS3	PICTURE_731.jpg	c	hit
1105.550	8.152	correct	control	LS3	PICTURE_733.jpg	c	hit
1113.702	6.933	correct	control	LS3	PICTURE_98.jpg	c	hit
1120.635	7.960	correct	control	LS3	PICTURE_645.jpg	c	hit
1128.595	8.508	correct	control	LS3	PICTURE_134.jpg	i	correct rejection
1137.103	8.255	correct	control	LS3	PICTURE_645.jpg	i	correct rejection
1145.358	7.850	correct	control	LS3	PICTURE_98.jpg	i	correct rejection
1153.208	11.443	correct	control	LS3	PICTURE_134.jpg	c	hit
1164.651	10.178	correct	control	LS4	PICTURE_645.jpg	i	correct rejection
1174.829	8.492	correct	control	LS4	PICTURE_731.jpg	c	hit
1183.321	6.967	correct	control	LS4	PICTURE_134.jpg	c	hit
1190.288	7.360	correct	control	LS4	PICTURE_98.jpg	i	correct rejection
1197.648	6.481	correct	control	LS4	PICTURE_733.jpg	c	hit
1204.129	7.514	incorrect	control	LS4	PICTURE_731.jpg	i	false alarm
1211.643	7.915	correct	control	LS4	PICTURE_98.jpg	c	hit
1219.558	8.155	correct	control	LS4	PICTURE_733.jpg	i	correct rejection
1227.713	9.197	correct	control	LS4	PICTURE_645.jpg	c	hit
1236.910	8.476	correct	control	LS4	PICTURE_134.jpg	i	correct rejection
1245.386	12.237	correct	learning	LS1	PICTURE_21.jpg	c	hit
1257.623	10.218	incorrect	learning	LS1	PICTURE_402.jpg	i	false alarm
1267.841	12.037	correct	learning	LS1	PICTURE_400.jpg	c	hit
1279.878	12.736	correct	learning	LS1	PICTURE_462.jpg	c	hit
1292.614	11.204	incorrect	learning	LS1	PICTURE_405.jpg	i	false alarm
1303.818	18.948	correct	learning	LS1	PICTURE_402.jpg	c	hit
1322.766	19.023	incorrect	learning	LS1	PICTURE_462.jpg	i	false alarm
1341.789	19.576	incorrect	learning	LS1	PICTURE_21.jpg	i	false alarm
1361.365	20.129	correct	learning	LS1	PICTURE_405.jpg	c	hit
1381.494	14.765	correct	learning	LS1	PICTURE_400.jpg	i	correct rejection
1396.259	17.659	correct	learning	LS2	PICTURE_405.jpg	c	hit
1413.918	12.615	incorrect	learning	LS2	PICTURE_402.jpg	i	false alarm
1426.533	12.856	correct	learning	LS2	PICTURE_21.jpg	c	hit
1439.389	14.375	incorrect	learning	LS2	PICTURE_402.jpg	c	miss
1453.764	14.456	correct	learning	LS2	PICTURE_405.jpg	i	correct rejection
1468.220	10.369	correct	learning	LS2	PICTURE_462.jpg	c	hit
1478.589	11.250	correct	learning	LS2	PICTURE_400.jpg	c	hit
1489.839	17.881	incorrect	learning	LS2	PICTURE_21.jpg	i	false alarm
1507.720	9.326	correct	learning	LS2	PICTURE_400.jpg	i	correct rejection
1517.046	19.642	incorrect	learning	LS2	PICTURE_462.jpg	i	false alarm
1536.688	9.261	correct	learning	LS3	PICTURE_462.jpg	c	hit
1545.949	14.932	correct	learning	LS3	PICTURE_402.jpg	c	hit
1560.881	8.437	correct	learning	LS3	PICTURE_21.jpg	i	correct rejection
1569.318	11.376	correct	learning	LS3	PICTURE_405.jpg	c	hit
1580.694	9.677	correct	learning	LS3	PICTURE_400.jpg	c	hit
1590.371	10.057	correct	learning	LS3	PICTURE_462.jpg	i	correct rejection
1600.428	11.403	correct	learning	LS3	PICTURE_405.jpg	i	correct rejection
1611.831	8.592	correct	learning	LS3	PICTURE_400.jpg	i	correct rejection
1620.423	9.459	correct	learning	LS3	PICTURE_402.jpg	i	correct rejection
1629.882	8.733	correct	learning	LS3	PICTURE_21.jpg	c	hit
1638.615	9.067	correct	learning	LS4	PICTURE_462.jpg	i	correct rejection
1647.682	8.660	correct	learning	LS4	PICTURE_405.jpg	c	hit
1656.342	8.095	correct	learning	LS4	PICTURE_402.jpg	c	hit
1664.437	7.687	correct	learning	LS4	PICTURE_400.jpg	i	correct rejection
1672.124	8.888	correct	learning	LS4	PICTURE_405.jpg	i	correct rejection
1681.012	8.963	correct	learning	LS4	PICTURE_400.jpg	c	hit
1689.975	8.563	correct	learning	LS4	PICTURE_21.jpg	c	hit
1698.538	10.243	correct	learning	LS4	PICTURE_462.jpg	c	hit
1708.781	7.918	correct	learning	LS4	PICTURE_21.jpg	i	correct rejection
1716.699	10.878	correct	learning	LS4	PICTURE_402.jpg	i	correct rejection
1727.577	10.169	incorrect	learning	LS1	PICTURE_220.jpg	i	false alarm
1737.746	11.030	correct	learning	LS1	PICTURE_216.jpg	c	hit
1748.776	11.730	incorrect	learning	LS1	PICTURE_695.jpg	i	false alarm
1760.506	10.991	incorrect	learning	LS1	PICTURE_216.jpg	i	false alarm
1771.497	15.689	incorrect	learning	LS1	PICTURE_703.jpg	i	false alarm
1787.186	11.118	incorrect	learning	LS1	PICTURE_53.jpg	i	false alarm
1798.304	15.023	correct	learning	LS1	PICTURE_695.jpg	c	hit
1813.327	9.174	correct	learning	LS1	PICTURE_220.jpg	c	hit
1822.501	9.408	correct	learning	LS1	PICTURE_703.jpg	c	hit
1831.909	11.242	correct	learning	LS1	PICTURE_53.jpg	c	hit
1843.151	9.497	correct	learning	LS2	PICTURE_695.jpg	c	hit
1852.648	7.172	correct	learning	LS2	PICTURE_53.jpg	c	hit
1859.820	7.726	correct	learning	LS2	PICTURE_703.jpg	c	hit
1867.546	13.717	incorrect	learning	LS2	PICTURE_216.jpg	i	false alarm
1881.263	9.480	correct	learning	LS2	PICTURE_695.jpg	i	correct rejection
1890.743	5.882	correct	learning	LS2	PICTURE_220.jpg	c	hit
1896.625	9.961	correct	learning	LS2	PICTURE_703.jpg	i	correct rejection
1906.586	9.241	correct	learning	LS2	PICTURE_53.jpg	i	correct rejection
1915.827	16.999	correct	learning	LS2	PICTURE_216.jpg	c	hit
1932.826	11.642	correct	learning	LS2	PICTURE_220.jpg	i	correct rejection
1944.468	9.578	correct	learning	LS3	PICTURE_695.jpg	c	hit
1954.046	8.059	correct	learning	LS3	PICTURE_53.jpg	c	hit
1962.105	7.007	correct	learning	LS3	PICTURE_220.jpg	c	hit
1969.112	8.187	correct	learning	LS3	PICTURE_53.jpg	i	correct rejection
1977.299	9.687	correct	learning	LS3	PICTURE_216.jpg	i	correct rejection
1986.986	9.428	correct	learning	LS3	PICTURE_695.jpg	i	correct rejection
1996.414	8.048	correct	learning	LS3	PICTURE_220.jpg	i	correct rejection
2004.462	11.314	correct	learning	LS3	PICTURE_703.jpg	i	correct rejection
2015.776	8.822	correct	learning	LS3	PICTURE_216.jpg	c	hit
2024.598	8.569	correct	learning	LS3	PICTURE_703.jpg	c	hit
2033.167	7.303	correct	learning	LS4	PICTURE_216.jpg	c	hit
2040.470	8.978	correct	learning	LS4	PICTURE_695.jpg	c	hit
2049.448	11.130	correct	learning	LS4	PICTURE_216.jpg	i	correct rejection
2060.578	6.726	correct	learning	LS4	PICTURE_703.jpg	c	hit
2067.304	7.600	correct	learning	LS4	PICTURE_695.jpg	i	correct rejection
2074.904	8.480	correct	learning	LS4	PICTURE_703.jpg	i	correct rejection
2083.384	7.280	correct	learning	LS4	PICTURE_220.jpg	c	hit
2090.664	6.401	correct	learning	LS4	PICTURE_53.jpg	c	hit
2097.065	7.435	correct	learning	LS4	PICTURE_220.jpg	i	correct rejection
2104.500	8.316	correct	learning	LS4	PICTURE_53.jpg	i	correct rejection
2112.816	12.886	incorrect	learning	LS1	PICTURE_235.jpg	i	false alarm
2125.702	19.982	correct	learning	LS1	PICTURE_746.jpg	c	hit
2145.684	9.647	incorrect	learning	LS1	PICTURE_23.jpg	i	false alarm
2155.331	21.864	correct	learning	LS1	PICTURE_235.jpg	c	hit
2177.195	17.446	incorrect	learning	LS1	PICTURE_23.jpg	c	miss
2194.641	15.907	correct	learning	LS1	PICTURE_297.jpg	c	hit
2210.548	16.294	incorrect	learning	LS1	PICTURE_720.jpg	i	false alarm
2226.842	14.602	incorrect	learning	LS1	PICTURE_746.jpg	i	false alarm
2241.444	12.277	correct	learning	LS1	PICTURE_720.jpg	c	hit
2253.721	9.472	correct	learning	LS1	PICTURE_297.jpg	i	correct rejection
2263.193	13.965	correct	learning	LS2	PICTURE_297.jpg	i	correct rejection
2277.158	14.038	incorrect	learning	LS2	PICTURE_720.jpg	i	false alarm
2291.196	9.794	correct	learning	LS2	PICTURE_297.jpg	c	hit
2300.990	7.475	correct	learning	LS2	PICTURE_235.jpg	c	hit
2308.465	9.629	correct	learning	LS2	PICTURE_23.jpg	i	correct rejection
2318.094	9.389	correct	learning	LS2	PICTURE_720.jpg	c	hit
2327.483	14.428	correct	learning	LS2	PICTURE_746.jpg	c	hit
2341.911	16.108	correct	learning	LS2	PICTURE_23.jpg	c	hit
2358.019	7.865	correct	learning	LS2	PICTURE_235.jpg	i	correct rejection
2365.884	8.745	correct	learning	LS2	PICTURE_746.jpg	i	correct rejection
2374.629	15.484	correct	learning	LS3	PICTURE_23.jpg	c	hit
2390.113	9.640	correct	learning	LS3	PICTURE_297.jpg	c	hit
2399.753	13.239	correct	learning	LS3	PICTURE_720.jpg	c	hit
