onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
841.972	9.527	1	learning	LS2	PICTURE_640.jpg	c
851.499	7.770	1	learning	LS2	PICTURE_592.jpg	c
859.269	13.049	1	learning	LS2	PICTURE_379.jpg	i
872.318	9.536	0	learning	LS2	PICTURE_465.jpg	i
881.854	10.660	1	learning	LS2	PICTURE_379.jpg	c
892.514	9.705	1	learning	LS2	PICTURE_592.jpg	i
902.219	11.307	1	learning	LS2	PICTURE_692.jpg	i
913.526	9.554	1	learning	LS2	PICTURE_465.jpg	c
923.080	10.202	1	learning	LS2	PICTURE_640.jpg	i
933.282	8.132	1	learning	LS2	PICTURE_692.jpg	c
941.414	9.607	1	learning	LS3	PICTURE_692.jpg	i
951.021	8.972	1	learning	LS3	PICTURE_379.jpg	i
959.993	9.935	1	learning	LS3	PICTURE_640.jpg	i
969.928	8.505	1	learning	LS3	PICTURE_465.jpg	c
978.433	8.987	1	learning	LS3	PICTURE_592.jpg	c
987.420	7.873	1	learning	LS3	PICTURE_640.jpg	c
995.293	8.678	1	learning	LS3	PICTURE_592.jpg	i
1003.971	9.804	1	learning	LS3	PICTURE_379.jpg	c
1013.775	9.969	1	learning	LS3	PICTURE_692.jpg	c
1023.744	8.696	1	learning	LS3	PICTURE_465.jpg	i
1032.440	11.445	1	learning	LS4	PICTURE_592.jpg	c
1043.885	7.616	1	learning	LS4	PICTURE_379.jpg	c
1051.501	8.259	1	learning	LS4	PICTURE_692.jpg	i
1059.760	8.104	1	learning	LS4	PICTURE_640.jpg	i
1067.864	7.630	1	learning	LS4	PICTURE_465.jpg	i
1075.494	8.112	1	learning	LS4	PICTURE_379.jpg	i
1083.606	7.479	1	learning	LS4	PICTURE_640.jpg	c
1091.085	7.805	1	learning	LS4	PICTURE_465.jpg	c
1098.890	8.933	1	learning	LS4	PICTURE_692.jpg	c
1107.823	8.300	1	learning	LS4	PICTURE_592.jpg	i
1116.123	10.370	1	learning	LS1	PICTURE_67.jpg	c
1126.493	6.699	1	learning	LS1	PICTURE_74.jpg	c
1133.192	11.658	0	learning	LS1	PICTURE_71.jpg	i
1144.850	8.147	0	learning	LS1	PICTURE_72.jpg	i
1152.997	8.940	0	learning	LS1	PICTURE_68.jpg	i
1161.937	11.663	0	learning	LS1	PICTURE_67.jpg	i
1173.600	13.745	1	learning	LS1	PICTURE_71.jpg	c
1187.345	12.953	0	learning	LS1	PICTURE_72.jpg	c
1200.298	11.521	1	learning	LS1	PICTURE_68.jpg	c
1211.819	9.289	1	learning	LS1	PICTURE_74.jpg	i
1221.108	8.679	1	learning	LS2	PICTURE_72.jpg	c
1229.787	8.206	1	learning	LS2	PICTURE_71.jpg	c
1237.993	9.812	1	learning	LS2	PICTURE_68.jpg	c
1247.805	9.659	0	learning	LS2	PICTURE_67.jpg	i
1257.464	9.026	1	learning	LS2	PICTURE_72.jpg	i
1266.490	8.233	1	learning	LS2	PICTURE_74.jpg	c
1274.723	18.305	0	learning	LS2	PICTURE_67.jpg	c
1293.028	8.881	1	learning	LS2	PICTURE_74.jpg	i
1301.909	8.729	1	learning	LS2	PICTURE_71.jpg	i
1310.638	9.530	1	learning	LS2	PICTURE_68.jpg	i
1320.168	7.644	1	learning	LS3	PICTURE_72.jpg	c
1327.812	7.172	1	learning	LS3	PICTURE_68.jpg	c
1334.984	7.185	1	learning	LS3	PICTURE_74.jpg	i
1342.169	12.946	1	learning	LS3	PICTURE_67.jpg	c
