onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
702.087	6.698	6698.0	control	LS4	PICTURE_551.jpg	i	n/a
708.785	8.149	8149.0	control	LS4	PICTURE_185.jpg	i	n/a
716.934	6.880	6880.0	control	LS4	PICTURE_343.jpg	c	n/a
723.814	7.213	7213.0	control	LS4	PICTURE_19.jpg	c	n/a
731.027	8.024	8024.0	control	LS4	PICTURE_708.jpg	c	n/a
739.051	7.078	7078.0	control	LS4	PICTURE_185.jpg	c	n/a
746.129	8.048	8048.0	control	LS4	PICTURE_343.jpg	i	n/a
754.177	11.264	11264.0	learning	LS1	PICTURE_26.jpg	c	n/a
765.441	6.480	6480.0	learning	LS1	PICTURE_212.jpg	i	n/a
771.921	13.206	13206.0	learning	LS1	PICTURE_659.jpg	c	n/a
785.127	11.136	11136.0	learning	LS1	PICTURE_212.jpg	c	n/a
796.263	11.786	11786.0	learning	LS1	PICTURE_38.jpg	c	n/a
808.049	10.039	10039.0	learning	LS1	PICTURE_654.jpg	i	n/a
818.088	15.800	15800.0	learning	LS1	PICTURE_659.jpg	i	n/a
833.888	16.610	16610.0	learning	LS1	PICTURE_38.jpg	i	n/a
850.498	13.581	13581.0	learning	LS1	PICTURE_26.jpg	i	n/a
864.079	13.910	13910.0	learning	LS1	PICTURE_654.jpg	c	n/a
877.989	12.033	12033.0	learning	LS2	PICTURE_659.jpg	i	n/a
890.022	8.845	8845.0	learning	LS2	PICTURE_654.jpg	i	n/a
898.867	12.848	12848.0	learning	LS2	PICTURE_659.jpg	c	n/a
911.715	11.261	11261.0	learning	LS2	PICTURE_26.jpg	c	n/a
922.976	15.111	15111.0	learning	LS2	PICTURE_212.jpg	i	n/a
938.087	7.772	7772.0	learning	LS2	PICTURE_654.jpg	c	n/a
945.859	8.423	8423.0	learning	LS2	PICTURE_26.jpg	i	n/a
954.282	10.353	10353.0	learning	LS2	PICTURE_38.jpg	c	n/a
964.635	7.649	7649.0	learning	LS2	PICTURE_212.jpg	c	n/a
972.284	8.459	8459.0	learning	LS2	PICTURE_38.jpg	i	n/a
980.743	6.745	6745.0	learning	LS3	PICTURE_38.jpg	c	n/a
987.488	6.275	6275.0	learning	LS3	PICTURE_654.jpg	c	n/a
993.763	9.640	9640.0	learning	LS3	PICTURE_212.jpg	i	n/a
1003.403	8.371	8371.0	learning	LS3	PICTURE_659.jpg	i	n/a
1011.774	8.862	8862.0	learning	LS3	PICTURE_38.jpg	i	n/a
1020.636	7.755	7755.0	learning	LS3	PICTURE_212.jpg	c	n/a
1028.391	8.083	8083.0	learning	LS3	PICTURE_26.jpg	c	n/a
1036.474	7.454	7454.0	learning	LS3	PICTURE_654.jpg	i	n/a
1043.928	8.421	8421.0	learning	LS3	PICTURE_26.jpg	i	n/a
1052.349	6.509	6509.0	learning	LS3	PICTURE_659.jpg	c	n/a
1058.858	6.391	6391.0	learning	LS4	PICTURE_654.jpg	c	n/a
1065.249	9.437	9437.0	learning	LS4	PICTURE_659.jpg	i	n/a
1074.686	9.607	9607.0	learning	LS4	PICTURE_26.jpg	i	n/a
1084.293	7.058	7058.0	learning	LS4	PICTURE_659.jpg	c	n/a
1091.351	8.188	8188.0	learning	LS4	PICTURE_654.jpg	i	n/a
1099.539	7.719	7719.0	learning	LS4	PICTURE_26.jpg	c	n/a
1107.258	6.775	6775.0	learning	LS4	PICTURE_38.jpg	i	n/a
1114.033	9.982	9982.0	learning	LS4	PICTURE_212.jpg	i	n/a
1124.015	8.396	8396.0	learning	LS4	PICTURE_38.jpg	c	n/a
1132.411	6.967	6967.0	learning	LS4	PICTURE_212.jpg	c	n/a
1139.378	7.145	7145.0	control	LS1	PICTURE_540.jpg	c	n/a
1146.523	9.237	9237.0	control	LS1	PICTURE_135.jpg	i	n/a
1155.760	10.369	10369.0	control	LS1	PICTURE_263.jpg	i	n/a
1166.129	7.186	7186.0	control	LS1	PICTURE_540.jpg	i	n/a
1173.315	7.514	7514.0	control	LS1	PICTURE_263.jpg	c	n/a
1180.829	10.083	10083.0	control	LS1	PICTURE_116.jpg	c	n/a
1190.912	7.539	7539.0	control	LS1	PICTURE_491.jpg	c	n/a
1198.451	7.388	7388.0	control	LS1	PICTURE_116.jpg	i	n/a
1205.839	7.877	7877.0	control	LS1	PICTURE_135.jpg	c	n/a
1213.716	7.569	7569.0	control	LS1	PICTURE_491.jpg	i	n/a
1221.285	7.924	7924.0	control	LS2	PICTURE_540.jpg	c	n/a
1229.209	6.338	6338.0	control	LS2	PICTURE_263.jpg	i	n/a
1235.547	7.148	7148.0	control	LS2	PICTURE_116.jpg	c	n/a
1242.695	7.317	7317.0	control	LS2	PICTURE_135.jpg	i	n/a
1250.012	7.007	7007.0	control	LS2	PICTURE_540.jpg	i	n/a
1257.019	7.336	7336.0	control	LS2	PICTURE_116.jpg	i	n/a
1264.355	7.667	7667.0	control	LS2	PICTURE_491.jpg	c	n/a
1272.022	6.877	6877.0	control	LS2	PICTURE_263.jpg	c	n/a
1278.899	7.203	7203.0	control	LS2	PICTURE_491.jpg	i	n/a
1286.102	6.894	6894.0	control	LS2	PICTURE_135.jpg	c	n/a
1292.996	9.652	9652.0	control	LS3	PICTURE_119.jpg	i	n/a
1302.648	8.059	8059.0	control	LS3	PICTURE_111.jpg	c	n/a
1310.707	7.584	7584.0	control	LS3	PICTURE_234.jpg	i	n/a
1318.291	8.874	8874.0	control	LS3	PICTURE_111.jpg	i	n/a
1327.165	9.203	9203.0	control	LS3	PICTURE_621.jpg	i	n/a
