trial_index	trial_type	block_number	block_type	is_practice	n_left_clicks	go_first_left_inside	go_first_left_rt	parse_failed_time	parse_failed_xy	parse_failed_buttons	mismatched_lengths	any_rb_nonzero	any_mb_nonzero	any_click	any_left	any_right	nogo_stop_time	nogo_stopped	nogo_outcome	nogo_parse_failed	rt_combined	accuracy
42	go	3	go_only	0	1	0	0.411290	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	n/a	0
43	go	3	go_only	0	1	1	0.542562	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.542562	1
44	go	3	go_only	0	1	1	0.594793	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.594793	1
45	go	3	go_only	0	1	1	0.559856	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.559856	1
46	go	3	go_only	0	1	1	0.510138	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.510138	1
47	go	3	go_only	0	1	1	0.545122	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.545122	1
48	go	3	go_only	0	1	1	0.527492	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.527492	1
49	go	3	go_only	0	1	1	0.662127	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.662127	1
50	go	3	go_only	0	1	1	0.612235	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.612235	1
51	go	3	go_only	0	1	1	0.528160	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.528160	1
52	go	3	go_only	0	1	1	0.711090	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.711090	1
53	go	3	go_only	0	1	1	0.509096	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.509096	1
54	go	3	go_only	0	1	1	0.542313	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.542313	1
55	go	4	go_nogo	0	1	1	0.706651	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.706651	1
56	go	4	go_nogo	0	1	1	0.840933	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.840933	1
57	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.357699	1	stopped_early	0	0.357699	1
58	go	4	go_nogo	0	1	1	0.658224	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.658224	1
59	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.326058	1	stopped_early	0	0.326058	1
60	go	4	go_nogo	0	1	1	0.727949	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.727949	1
61	go	4	go_nogo	0	1	1	0.559820	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.559820	1
62	go	4	go_nogo	0	1	1	0.675706	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.675706	1
63	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.410485	1	stopped_early	0	0.410485	1
64	go	4	go_nogo	0	1	1	0.592942	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.592942	1
65	go	4	go_nogo	0	1	1	0.593587	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.593587	1
66	go	4	go_nogo	0	1	1	0.544136	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544136	1
67	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.442279	1	stopped_early	0	0.442279	1
68	go	4	go_nogo	0	1	1	0.578265	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.578265	1
69	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.358658	1	stopped_early	0	0.358658	1
70	go	4	go_nogo	0	1	1	0.860557	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.860557	1
71	go	4	go_nogo	0	1	1	0.593564	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.593564	1
72	go	4	go_nogo	0	1	1	0.560853	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.560853	1
73	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.426851	1	stopped_near_deadline	0	0.426851	1
74	go	4	go_nogo	0	1	1	0.909333	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.909333	1
75	go	4	go_nogo	0	1	1	0.594058	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.594058	1
76	go	4	go_nogo	0	1	1	1.011258	0	0	0	0	0	0	1	1	0	0.427901	1	stopped_early	0	1.011258	1
77	go	4	go_nogo	0	1	1	1.176774	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	1.176774	1
78	go	4	go_nogo	0	1	1	0.711401	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.711401	1
79	go	4	go_nogo	0	1	1	0.859741	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.859741	1
80	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.442663	1	stopped_early	0	0.442663	1
81	go	4	go_nogo	0	1	1	0.677555	0	0	0	0	0	0	1	1	0	0.460159	1	stopped_early	0	0.677555	1
82	go	4	go_nogo	0	1	1	0.626826	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.626826	1
83	go	4	go_nogo	0	1	1	0.626613	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.626613	1
84	go	4	go_nogo	0	1	1	0.476982	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.476982	1
85	go	4	go_nogo	0	1	1	0.544283	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544283	1
86	go	4	go_nogo	0	1	1	0.578205	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.578205	1
87	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.394423	1	stopped_near_deadline	0	0.394423	1
88	go	4	go_nogo	0	1	1	0.676009	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.676009	1
89	go	4	go_nogo	0	1	1	0.694378	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.694378	1
90	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.577389	1	stopped_early	0	0.577389	1
91	go	4	go_nogo	0	1	1	0.742588	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.742588	1
92	go	4	go_nogo	0	1	1	0.676447	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.676447	1
93	go	4	go_nogo	0	1	1	0.693761	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.693761	1
94	go	4	go_nogo	0	1	1	0.860692	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.860692	1
95	go	4	go_nogo	0	1	1	1.011391	0	0	0	0	0	0	1	1	0	0.494515	1	stopped_early	0	1.011391	1
96	go	4	go_nogo	0	1	1	0.845250	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.845250	1
97	go	4	go_nogo	0	1	1	0.794515	0	0	0	0	0	0	1	1	0	0.644350	1	stopped_early	0	0.794515	1
98	go	4	go_nogo	0	1	1	0.694323	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.694323	1
99	go	4	go_nogo	0	1	1	0.643826	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.643826	1
100	go	4	go_nogo	0	1	1	0.696093	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.696093	1
101	go	4	go_nogo	0	1	1	0.659941	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.659941	1
102	go	4	go_nogo	0	1	1	0.677972	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.677972	1
103	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.361066	1	stopped_early	0	0.361066	1
104	go	4	go_nogo	0	1	1	0.696522	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.696522	1
105	go	4	go_nogo	0	1	1	0.978609	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.978609	1
106	go	4	go_nogo	0	1	1	0.628965	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.628965	1
107	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.425883	1	stopped_early	0	0.425883	1
