onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
796.156	8.731	8731.0	control	LS4	PICTURE_343.jpg	c	n/a
804.887	7.209	7209.0	control	LS4	PICTURE_19.jpg	c	n/a
812.096	12.406	12406.0	control	LS4	PICTURE_185.jpg	c	n/a
824.502	7.366	7366.0	control	LS4	PICTURE_708.jpg	c	n/a
831.868	9.044	9044.0	control	LS4	PICTURE_19.jpg	i	n/a
840.912	8.802	8802.0	control	LS4	PICTURE_551.jpg	i	n/a
849.714	9.207	9207.0	control	LS4	PICTURE_708.jpg	i	n/a
858.921	19.082	19082.0	learning	LS1	PICTURE_640.jpg	c	n/a
878.003	8.909	8909.0	learning	LS1	PICTURE_592.jpg	i	n/a
886.912	4.815	4815.0	learning	LS1	PICTURE_692.jpg	c	n/a
891.727	8.077	8077.0	learning	LS1	PICTURE_465.jpg	c	n/a
899.804	13.732	13732.0	learning	LS1	PICTURE_379.jpg	i	n/a
913.536	16.835	16835.0	learning	LS1	PICTURE_465.jpg	i	n/a
930.371	10.987	10987.0	learning	LS1	PICTURE_379.jpg	c	n/a
941.358	10.738	10738.0	learning	LS1	PICTURE_592.jpg	c	n/a
952.096	12.894	12894.0	learning	LS1	PICTURE_692.jpg	i	n/a
964.990	8.973	8973.0	learning	LS1	PICTURE_640.jpg	i	n/a
973.963	8.355	8355.0	learning	LS2	PICTURE_465.jpg	i	n/a
982.318	18.989	18989.0	learning	LS2	PICTURE_692.jpg	c	n/a
1001.307	n/a	n/a	learning	LS2	PICTURE_640.jpg	c	n/a
1026.307	8.909	8909.0	learning	LS2	PICTURE_592.jpg	c	n/a
1035.216	7.707	7707.0	learning	LS2	PICTURE_379.jpg	i	n/a
1042.923	7.951	7951.0	learning	LS2	PICTURE_592.jpg	i	n/a
1050.874	9.627	9627.0	learning	LS2	PICTURE_379.jpg	c	n/a
1060.501	8.752	8752.0	learning	LS2	PICTURE_692.jpg	i	n/a
1069.253	7.397	7397.0	learning	LS2	PICTURE_465.jpg	c	n/a
1076.650	9.401	9401.0	learning	LS2	PICTURE_640.jpg	i	n/a
1086.051	8.150	8150.0	learning	LS3	PICTURE_465.jpg	i	n/a
1094.201	8.234	8234.0	learning	LS3	PICTURE_640.jpg	c	n/a
1102.435	7.519	7519.0	learning	LS3	PICTURE_465.jpg	c	n/a
1109.954	11.275	11275.0	learning	LS3	PICTURE_592.jpg	i	n/a
1121.229	8.934	8934.0	learning	LS3	PICTURE_692.jpg	i	n/a
1130.163	9.637	9637.0	learning	LS3	PICTURE_379.jpg	i	n/a
1139.800	8.742	8742.0	learning	LS3	PICTURE_692.jpg	c	n/a
1148.542	7.047	7047.0	learning	LS3	PICTURE_592.jpg	c	n/a
1155.589	10.470	10470.0	learning	LS3	PICTURE_640.jpg	i	n/a
1166.059	8.141	8141.0	learning	LS3	PICTURE_379.jpg	c	n/a
1174.200	8.317	8317.0	learning	LS4	PICTURE_640.jpg	i	n/a
1182.517	8.076	8076.0	learning	LS4	PICTURE_692.jpg	c	n/a
1190.593	8.153	8153.0	learning	LS4	PICTURE_379.jpg	c	n/a
1198.746	8.711	8711.0	learning	LS4	PICTURE_692.jpg	i	n/a
1207.457	7.027	7027.0	learning	LS4	PICTURE_592.jpg	c	n/a
1214.484	8.704	8704.0	learning	LS4	PICTURE_465.jpg	i	n/a
1223.188	8.623	8623.0	learning	LS4	PICTURE_379.jpg	i	n/a
1231.811	11.427	11427.0	learning	LS4	PICTURE_640.jpg	c	n/a
1243.238	6.713	6713.0	learning	LS4	PICTURE_465.jpg	c	n/a
1249.951	7.436	7436.0	learning	LS4	PICTURE_592.jpg	i	n/a
1257.387	10.114	10114.0	learning	LS1	PICTURE_267.jpg	i	n/a
1267.501	2.202	2202.0	learning	LS1	PICTURE_77.jpg	i	n/a
1269.703	3.393	3393.0	learning	LS1	PICTURE_97.jpg	i	n/a
1273.096	6.656	6656.0	learning	LS1	PICTURE_100.jpg	i	n/a
1279.752	5.920	5920.0	learning	LS1	PICTURE_32.jpg	c	n/a
1285.672	10.302	10302.0	learning	LS1	PICTURE_97.jpg	c	n/a
1295.974	11.647	11647.0	learning	LS1	PICTURE_32.jpg	i	n/a
1307.621	9.477	9477.0	learning	LS1	PICTURE_267.jpg	c	n/a
1317.098	10.668	10668.0	learning	LS1	PICTURE_77.jpg	c	n/a
1327.766	8.340	8340.0	learning	LS1	PICTURE_100.jpg	c	n/a
1336.106	9.480	9480.0	learning	LS2	PICTURE_32.jpg	c	n/a
1345.586	8.598	8598.0	learning	LS2	PICTURE_100.jpg	c	n/a
1354.184	8.356	8356.0	learning	LS2	PICTURE_77.jpg	c	n/a
1362.540	11.312	11312.0	learning	LS2	PICTURE_267.jpg	i	n/a
1373.852	10.110	10110.0	learning	LS2	PICTURE_32.jpg	i	n/a
1383.962	13.067	13067.0	learning	LS2	PICTURE_97.jpg	i	n/a
1397.029	10.431	10431.0	learning	LS2	PICTURE_100.jpg	i	n/a
1407.460	10.355	10355.0	learning	LS2	PICTURE_77.jpg	i	n/a
1417.815	12.032	12032.0	learning	LS2	PICTURE_97.jpg	c	n/a
1429.847	12.277	12277.0	learning	LS2	PICTURE_267.jpg	c	n/a
1442.124	12.146	12146.0	learning	LS3	PICTURE_97.jpg	i	n/a
1454.270	10.144	10144.0	learning	LS3	PICTURE_32.jpg	i	n/a
1464.414	8.628	8628.0	learning	LS3	PICTURE_100.jpg	c	n/a
1473.042	8.553	8553.0	learning	LS3	PICTURE_77.jpg	i	n/a
1481.595	9.916	9916.0	learning	LS3	PICTURE_100.jpg	i	n/a
1491.511	9.334	9334.0	learning	LS3	PICTURE_32.jpg	c	n/a
1500.845	9.398	9398.0	learning	LS3	PICTURE_267.jpg	c	n/a
1510.243	9.302	9302.0	learning	LS3	PICTURE_77.jpg	c	n/a
1519.545	9.207	9207.0	learning	LS3	PICTURE_97.jpg	c	n/a
1528.752	8.631	8631.0	learning	LS3	PICTURE_267.jpg	i	n/a
1537.383	14.564	14564.0	learning	LS4	PICTURE_32.jpg	i	n/a
1551.947	9.357	9357.0	learning	LS4	PICTURE_97.jpg	i	n/a
1561.304	7.835	7835.0	learning	LS4	PICTURE_267.jpg	c	n/a
1569.139	9.031	9031.0	learning	LS4	PICTURE_77.jpg	i	n/a
1578.170	13.268	13268.0	learning	LS4	PICTURE_32.jpg	c	n/a
1591.438	8.546	8546.0	learning	LS4	PICTURE_77.jpg	c	n/a
1599.984	10.384	10384.0	learning	LS4	PICTURE_100.jpg	c	n/a
1610.368	15.739	15739.0	learning	LS4	PICTURE_97.jpg	c	n/a
1626.107	7.499	7499.0	learning	LS4	PICTURE_100.jpg	i	n/a
1633.606	9.983	9983.0	learning	LS4	PICTURE_267.jpg	i	n/a
1643.589	12.502	12502.0	learning	LS1	PICTURE_414.jpg	i	n/a
1656.091	6.821	6821.0	learning	LS1	PICTURE_42.jpg	i	n/a
1662.912	4.185	4185.0	learning	LS1	PICTURE_203.jpg	c	n/a
1667.097	5.062	5062.0	learning	LS1	PICTURE_42.jpg	c	n/a
1672.159	10.244	10244.0	learning	LS1	PICTURE_566.jpg	i	n/a
1682.403	n/a	n/a	learning	LS1	PICTURE_224.jpg	i	n/a
1707.403	10.045	10045.0	learning	LS1	PICTURE_566.jpg	c	n/a
1717.448	9.790	9790.0	learning	LS1	PICTURE_203.jpg	i	n/a
1727.238	8.581	8581.0	learning	LS1	PICTURE_224.jpg	c	n/a
1735.819	13.290	13290.0	learning	LS1	PICTURE_414.jpg	c	n/a
1749.109	11.385	11385.0	learning	LS2	PICTURE_566.jpg	i	n/a
1760.494	9.384	9384.0	learning	LS2	PICTURE_42.jpg	i	n/a
1769.878	6.742	6742.0	learning	LS2	PICTURE_203.jpg	c	n/a
1776.620	7.618	7618.0	learning	LS2	PICTURE_414.jpg	c	n/a
1784.238	10.255	10255.0	learning	LS2	PICTURE_566.jpg	c	n/a
1794.493	7.773	7773.0	learning	LS2	PICTURE_224.jpg	i	n/a
1802.266	10.736	10736.0	learning	LS2	PICTURE_42.jpg	c	n/a
1813.002	10.661	10661.0	learning	LS2	PICTURE_414.jpg	i	n/a
1823.663	8.339	8339.0	learning	LS2	PICTURE_224.jpg	c	n/a
1832.002	8.583	8583.0	learning	LS2	PICTURE_203.jpg	i	n/a
1840.585	8.286	8286.0	learning	LS3	PICTURE_224.jpg	c	n/a
1848.871	8.850	8850.0	learning	LS3	PICTURE_203.jpg	i	n/a
1857.721	9.574	9574.0	learning	LS3	PICTURE_42.jpg	i	n/a
1867.295	9.018	9018.0	learning	LS3	PICTURE_566.jpg	i	n/a
1876.313	10.854	10854.0	learning	LS3	PICTURE_224.jpg	i	n/a
1887.167	9.179	9179.0	learning	LS3	PICTURE_414.jpg	c	n/a
1896.346	9.723	9723.0	learning	LS3	PICTURE_566.jpg	c	n/a
1906.069	9.788	9788.0	learning	LS3	PICTURE_414.jpg	i	n/a
1915.857	8.893	8893.0	learning	LS3	PICTURE_42.jpg	c	n/a
1924.750	7.838	7838.0	learning	LS3	PICTURE_203.jpg	c	n/a
1932.588	11.678	11678.0	learning	LS4	PICTURE_566.jpg	i	n/a
1944.266	9.349	9349.0	learning	LS4	PICTURE_224.jpg	i	n/a
1953.615	9.588	9588.0	learning	LS4	PICTURE_414.jpg	i	n/a
1963.203	7.906	7906.0	learning	LS4	PICTURE_203.jpg	i	n/a
1971.109	7.345	7345.0	learning	LS4	PICTURE_42.jpg	c	n/a
1978.454	9.982	9982.0	learning	LS4	PICTURE_566.jpg	c	n/a
1988.436	7.501	7501.0	learning	LS4	PICTURE_224.jpg	c	n/a
1995.937	7.899	7899.0	learning	LS4	PICTURE_414.jpg	c	n/a
2003.836	6.216	6216.0	learning	LS4	PICTURE_203.jpg	c	n/a
2010.052	9.013	9013.0	learning	LS4	PICTURE_42.jpg	i	n/a
2019.065	9.919	9919.0	learning	LS1	PICTURE_72.jpg	i	n/a
2028.984	3.765	3765.0	learning	LS1	PICTURE_68.jpg	i	n/a
2032.749	6.888	6888.0	learning	LS1	PICTURE_71.jpg	c	n/a
2039.637	5.853	5853.0	learning	LS1	PICTURE_74.jpg	c	n/a
2045.490	1.765	1765.0	learning	LS1	PICTURE_67.jpg	i	n/a
2047.255	n/a	n/a	learning	LS1	PICTURE_72.jpg	c	n/a
2072.255	9.089	9089.0	learning	LS1	PICTURE_74.jpg	i	n/a
2081.344	7.873	7873.0	learning	LS1	PICTURE_68.jpg	c	n/a
2089.217	9.536	9536.0	learning	LS1	PICTURE_67.jpg	c	n/a
2098.753	9.287	9287.0	learning	LS1	PICTURE_71.jpg	i	n/a
2108.040	8.982	8982.0	learning	LS2	PICTURE_71.jpg	c	n/a
2117.022	8.574	8574.0	learning	LS2	PICTURE_72.jpg	c	n/a
2125.596	11.851	11851.0	learning	LS2	PICTURE_74.jpg	i	n/a
2137.447	10.488	10488.0	learning	LS2	PICTURE_67.jpg	i	n/a
2147.935	12.487	12487.0	learning	LS2	PICTURE_74.jpg	c	n/a
2160.422	8.885	8885.0	learning	LS2	PICTURE_68.jpg	c	n/a
2169.307	11.042	11042.0	learning	LS2	PICTURE_72.jpg	i	n/a
2180.349	10.000	10000.0	learning	LS2	PICTURE_68.jpg	i	n/a
2190.349	9.284	9284.0	learning	LS2	PICTURE_71.jpg	i	n/a
2199.633	n/a	n/a	learning	LS2	PICTURE_67.jpg	c	n/a
2224.633	n/a	n/a	learning	LS3	PICTURE_67.jpg	c	n/a
2249.633	n/a	n/a	learning	LS3	PICTURE_71.jpg	c	n/a
2274.633	n/a	n/a	learning	LS3	PICTURE_68.jpg	i	n/a
2299.633	n/a	n/a	learning	LS3	PICTURE_67.jpg	i	n/a
2324.633	n/a	n/a	learning	LS3	PICTURE_72.jpg	i	n/a
2349.633	n/a	n/a	learning	LS3	PICTURE_74.jpg	c	n/a
2374.633	n/a	n/a	learning	LS3	PICTURE_72.jpg	c	n/a
2399.633	n/a	n/a	learning	LS3	PICTURE_68.jpg	c	n/a
2424.633	n/a	n/a	learning	LS3	PICTURE_71.jpg	i	n/a
2449.633	n/a	n/a	learning	LS3	PICTURE_74.jpg	i	n/a
2474.633	n/a	n/a	learning	LS4	PICTURE_72.jpg	i	n/a
2499.633	n/a	n/a	learning	LS4	PICTURE_71.jpg	i	n/a
2524.633	n/a	n/a	learning	LS4	PICTURE_74.jpg	i	n/a
2549.633	n/a	n/a	learning	LS4	PICTURE_68.jpg	c	n/a
2574.633	n/a	n/a	learning	LS4	PICTURE_67.jpg	i	n/a
2599.633	n/a	n/a	learning	LS4	PICTURE_68.jpg	i	n/a
2624.633	n/a	n/a	learning	LS4	PICTURE_72.jpg	c	n/a
2649.633	n/a	n/a	learning	LS4	PICTURE_71.jpg	c	n/a
2674.633	n/a	n/a	learning	LS4	PICTURE_67.jpg	c	n/a
2699.633	n/a	n/a	learning	LS4	PICTURE_74.jpg	c	n/a
2724.633	n/a	n/a	control	LS1	PICTURE_116.jpg	i	n/a
2749.633	n/a	n/a	control	LS1	PICTURE_135.jpg	i	n/a
2774.633	n/a	n/a	control	LS1	PICTURE_540.jpg	i	n/a
2799.633	n/a	n/a	control	LS1	PICTURE_263.jpg	i	n/a
2824.633	n/a	n/a	control	LS1	PICTURE_540.jpg	c	n/a
2849.633	n/a	n/a	control	LS1	PICTURE_135.jpg	c	n/a
2874.633	n/a	n/a	control	LS1	PICTURE_116.jpg	c	n/a
2899.633	n/a	n/a	control	LS1	PICTURE_491.jpg	c	n/a
2924.633	n/a	n/a	control	LS1	PICTURE_263.jpg	c	n/a
2949.633	n/a	n/a	control	LS1	PICTURE_491.jpg	i	n/a
2974.633	n/a	n/a	control	LS2	PICTURE_116.jpg	c	n/a
2999.633	n/a	n/a	control	LS2	PICTURE_491.jpg	c	n/a
3024.633	n/a	n/a	control	LS2	PICTURE_263.jpg	i	n/a
3049.633	n/a	n/a	control	LS2	PICTURE_135.jpg	i	n/a
3074.633	n/a	n/a	control	LS2	PICTURE_540.jpg	c	n/a
3099.633	n/a	n/a	control	LS2	PICTURE_116.jpg	i	n/a
3124.633	n/a	n/a	control	LS2	PICTURE_540.jpg	i	n/a
3149.633	n/a	n/a	control	LS2	PICTURE_491.jpg	i	n/a
3174.633	n/a	n/a	control	LS2	PICTURE_135.jpg	c	n/a
3199.633	n/a	n/a	control	LS2	PICTURE_263.jpg	c	n/a
3224.633	n/a	n/a	control	LS3	PICTURE_621.jpg	i	n/a
3249.633	n/a	n/a	control	LS3	PICTURE_111.jpg	c	n/a
3274.633	n/a	n/a	control	LS3	PICTURE_119.jpg	i	n/a
3299.633	n/a	n/a	control	LS3	PICTURE_151.jpg	c	n/a
3324.633	n/a	n/a	control	LS3	PICTURE_621.jpg	c	n/a
3349.633	n/a	n/a	control	LS3	PICTURE_111.jpg	i	n/a
3374.633	n/a	n/a	control	LS3	PICTURE_119.jpg	c	n/a
3399.633	n/a	n/a	control	LS3	PICTURE_234.jpg	i	n/a
3424.633	n/a	n/a	control	LS3	PICTURE_151.jpg	i	n/a
3449.633	n/a	n/a	control	LS3	PICTURE_234.jpg	c	n/a
3474.633	n/a	n/a	control	LS4	PICTURE_151.jpg	i	n/a
3499.633	n/a	n/a	control	LS4	PICTURE_621.jpg	i	n/a
3524.633	n/a	n/a	control	LS4	PICTURE_111.jpg	i	n/a
3549.633	n/a	n/a	control	LS4	PICTURE_151.jpg	c	n/a
3574.633	n/a	n/a	control	LS4	PICTURE_234.jpg	i	n/a
3599.633	n/a	n/a	control	LS4	PICTURE_111.jpg	c	n/a
