onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
964.902	9.163	1	learning	LS3	PICTURE_610.jpg	c
974.065	7.730	1	learning	LS3	PICTURE_599.jpg	i
981.795	8.219	1	learning	LS3	PICTURE_247.jpg	i
990.014	8.069	1	learning	LS3	PICTURE_43.jpg	i
998.083	7.757	1	learning	LS3	PICTURE_610.jpg	i
1005.840	8.242	1	learning	LS3	PICTURE_741.jpg	c
1014.082	8.732	1	learning	LS3	PICTURE_43.jpg	c
1022.814	8.610	1	learning	LS4	PICTURE_610.jpg	c
1031.424	8.620	1	learning	LS4	PICTURE_247.jpg	i
1040.044	6.871	1	learning	LS4	PICTURE_599.jpg	c
1046.915	6.560	1	learning	LS4	PICTURE_43.jpg	c
1053.475	7.530	1	learning	LS4	PICTURE_599.jpg	i
1061.005	6.735	1	learning	LS4	PICTURE_741.jpg	c
1067.740	7.541	1	learning	LS4	PICTURE_610.jpg	i
1075.281	6.912	1	learning	LS4	PICTURE_43.jpg	i
1082.193	8.357	1	learning	LS4	PICTURE_247.jpg	c
1090.550	10.759	1	learning	LS4	PICTURE_741.jpg	i
1101.309	10.606	0	learning	LS1	PICTURE_405.jpg	i
1111.915	9.494	0	learning	LS1	PICTURE_402.jpg	i
1121.409	9.342	0	learning	LS1	PICTURE_21.jpg	i
1130.751	12.228	1	learning	LS1	PICTURE_400.jpg	c
1142.979	9.518	0	learning	LS1	PICTURE_462.jpg	i
1152.497	9.206	1	learning	LS1	PICTURE_400.jpg	i
1161.703	11.450	1	learning	LS1	PICTURE_21.jpg	c
1173.153	9.864	1	learning	LS1	PICTURE_402.jpg	c
1183.017	8.273	1	learning	LS1	PICTURE_405.jpg	c
1191.290	10.517	1	learning	LS1	PICTURE_462.jpg	c
1201.807	9.277	1	learning	LS2	PICTURE_405.jpg	i
1211.084	9.443	1	learning	LS2	PICTURE_21.jpg	i
1220.527	10.092	1	learning	LS2	PICTURE_400.jpg	i
1230.619	7.861	1	learning	LS2	PICTURE_405.jpg	c
1238.480	8.668	1	learning	LS2	PICTURE_462.jpg	c
1247.148	8.833	1	learning	LS2	PICTURE_402.jpg	c
1255.981	11.076	1	learning	LS2	PICTURE_462.jpg	i
1267.057	8.365	1	learning	LS2	PICTURE_21.jpg	c
1275.422	17.955	1	learning	LS2	PICTURE_400.jpg	c
1293.377	8.376	1	learning	LS2	PICTURE_402.jpg	i
1301.753	8.256	1	learning	LS3	PICTURE_405.jpg	i
1310.009	8.583	1	learning	LS3	PICTURE_21.jpg	i
1318.592	8.428	1	learning	LS3	PICTURE_400.jpg	c
1327.020	8.596	1	learning	LS3	PICTURE_21.jpg	c
1335.616	9.243	1	learning	LS3	PICTURE_402.jpg	c
1344.859	11.808	1	learning	LS3	PICTURE_462.jpg	i
1356.667	7.980	1	learning	LS3	PICTURE_400.jpg	i
1364.647	9.270	1	learning	LS3	PICTURE_462.jpg	c
1373.917	8.319	1	learning	LS3	PICTURE_402.jpg	i
1382.236	7.529	1	learning	LS3	PICTURE_405.jpg	c
1389.765	9.163	1	learning	LS4	PICTURE_400.jpg	i
1398.928	7.890	1	learning	LS4	PICTURE_402.jpg	i
1406.818	7.739	1	learning	LS4	PICTURE_21.jpg	c
1414.557	6.466	1	learning	LS4	PICTURE_405.jpg	c
1421.023	7.435	1	learning	LS4	PICTURE_400.jpg	c
1428.458	8.243	1	learning	LS4	PICTURE_405.jpg	i
1436.701	9.689	1	learning	LS4	PICTURE_402.jpg	c
1446.390	10.332	1	learning	LS4	PICTURE_462.jpg	i
1456.722	7.943	1	learning	LS4	PICTURE_21.jpg	i
1464.665	8.587	1	learning	LS4	PICTURE_462.jpg	c
1473.252	10.037	0	learning	LS1	PICTURE_23.jpg	i
1483.289	10.843	0	learning	LS1	PICTURE_297.jpg	i
1494.132	10.213	1	learning	LS1	PICTURE_23.jpg	c
1504.345	9.744	0	learning	LS1	PICTURE_235.jpg	c
1514.089	11.511	0	learning	LS1	PICTURE_746.jpg	i
1525.600	11.678	1	learning	LS1	PICTURE_297.jpg	c
1537.278	9.449	1	learning	LS1	PICTURE_235.jpg	i
1546.727	n/a	n/a	learning	LS1	PICTURE_720.jpg	i
1571.727	19.852	1	learning	LS1	PICTURE_746.jpg	c
1591.579	9.793	0	learning	LS1	PICTURE_720.jpg	c
1601.372	7.749	1	learning	LS2	PICTURE_297.jpg	c
1609.121	7.116	1	learning	LS2	PICTURE_746.jpg	c
1616.237	7.126	1	learning	LS2	PICTURE_23.jpg	c
1623.363	7.614	1	learning	LS2	PICTURE_235.jpg	c
1630.977	8.902	0	learning	LS2	PICTURE_720.jpg	i
1639.879	9.232	1	learning	LS2	PICTURE_297.jpg	i
1649.111	7.958	1	learning	LS2	PICTURE_720.jpg	c
1657.069	7.804	1	learning	LS2	PICTURE_746.jpg	i
1664.873	8.290	1	learning	LS2	PICTURE_235.jpg	i
1673.163	8.617	1	learning	LS2	PICTURE_23.jpg	i
1681.780	7.211	1	learning	LS3	PICTURE_235.jpg	c
1688.991	6.902	1	learning	LS3	PICTURE_746.jpg	c
1695.893	7.711	1	learning	LS3	PICTURE_297.jpg	c
1703.604	6.921	1	learning	LS3	PICTURE_746.jpg	i
1710.525	7.887	1	learning	LS3	PICTURE_720.jpg	i
1718.412	7.417	1	learning	LS3	PICTURE_23.jpg	i
1725.829	8.383	1	learning	LS3	PICTURE_297.jpg	i
1734.212	8.550	1	learning	LS3	PICTURE_720.jpg	c
1742.762	8.396	1	learning	LS3	PICTURE_235.jpg	i
