trial_index	trial_type	block_number	mean_acceleration
351	go	10	30128.970246
352	nogo	10	27106.530482
353	go	10	19633.390199
354	go	10	31476.499923
355	nogo	10	n/a
356	go	10	37908.523150
357	nogo	10	21556.179610
358	go	10	49184.702201
359	nogo	10	62989.728869
360	go	10	39211.732056
361	go	10	39365.032268
362	go	10	67491.505074
363	nogo	10	30967.741553
364	go	10	53720.860878
365	nogo	10	29900.142559
366	go	10	29181.763882
367	go	10	19522.573572
368	go	10	46435.886444
369	go	10	n/a
370	go	10	61757.560971
371	go	10	n/a
372	go	10	46939.095073
373	go	10	31088.246689
374	go	10	32885.614713
375	go	10	33393.425638
376	go	10	40265.251001
377	nogo	10	41578.851863
378	go	10	46563.256371
379	go	10	46735.272373
380	nogo	10	n/a
381	go	10	26470.547342
382	nogo	10	22224.278948
383	go	10	27373.041336
384	go	10	36587.050329
385	go	10	28054.252652
386	go	10	44843.455111
387	nogo	10	30079.484649
388	go	10	37808.963220
389	go	10	n/a
390	go	10	60780.160727
391	go	11	41586.911243
392	nogo	11	73567.979317
393	go	11	38879.766993
394	go	11	45213.079624
395	go	11	54264.591178
396	go	11	24547.551181
397	nogo	11	24593.293294
398	go	11	37440.132299
399	go	11	35882.910072
400	go	11	51874.384470
401	go	11	44085.707885
402	go	11	39347.267041
403	go	11	44648.254733
404	nogo	11	26698.631136
405	go	11	33983.238800
406	nogo	11	33014.353965
407	go	11	35136.799046
408	nogo	11	27618.280481
409	go	11	34663.558641
410	go	11	58856.935328
411	nogo	11	31230.048824
412	go	11	30776.226809
413	go	11	35051.192355
414	go	11	82360.394827
415	go	11	33926.549996
416	go	11	44835.456962
417	go	11	44067.236809
418	go	11	43768.825856
419	nogo	11	34174.940356
420	go	11	24923.950458
421	nogo	11	40713.819268
422	go	11	42267.967547
423	go	11	26915.802796
424	go	11	52918.543457
425	go	11	32256.619407
426	nogo	11	44012.586015
427	go	11	43682.678000
428	go	11	39818.971379
429	go	11	n/a
430	go	11	22747.902959
431	nogo	11	65887.673479
432	go	11	28068.595054
433	go	11	25716.183479
434	go	11	41387.179539
435	go	11	73732.405266
436	go	11	55593.277575
437	go	11	43350.653012
438	go	11	37489.134940
439	go	11	38364.949867
440	go	11	37946.662286
441	go	11	50195.277337
442	go	11	41215.110816
443	nogo	11	51303.730722
444	go	11	63591.042264
445	go	11	48840.277831
446	go	11	66347.280754
447	go	11	39033.004387
448	nogo	11	46245.345992
449	go	11	8556.829100
450	go	11	38721.272605
469	go	13	38169.628651
470	go	13	67871.263988
471	go	13	63586.024421
472	nogo	13	31688.343770
473	go	13	36806.376616
474	go	13	44636.566745
475	nogo	13	24057.893668
476	go	13	59261.026148
477	nogo	13	n/a
478	go	13	37380.434952
479	go	13	34029.524976
480	go	13	56073.574189
481	go	13	62161.242580
482	nogo	13	65934.408992
483	go	13	46648.509661
484	go	13	59292.999653
485	go	13	40819.750332
486	go	13	44555.464729
487	go	13	39871.976154
488	go	13	30463.752355
489	go	13	61137.989815
490	go	13	45557.175492
491	go	13	45479.948504
492	nogo	13	44542.286138
493	go	13	48471.958667
494	go	13	50159.580086
495	go	13	69614.428725
496	go	13	55260.737402
497	go	13	70317.646510
498	go	13	66803.564693
499	go	13	n/a
500	go	13	62383.409969
501	go	13	n/a
502	nogo	13	25181.124463
503	go	13	40290.814491
504	go	13	44506.331702
505	go	13	42555.617432
506	go	13	42725.110999
507	go	13	50042.332489
508	go	13	56215.474727
509	go	13	52125.037217
510	go	13	49576.856547
511	nogo	13	n/a
512	go	13	53497.126954
513	go	13	62526.479062
514	go	13	49111.909578
515	nogo	13	43842.455584
516	go	13	54152.059482
517	go	13	72928.134420
518	nogo	13	81219.142456
519	go	13	53743.924076
520	go	13	85915.925653
521	go	13	44330.158110
522	go	13	55390.992263
523	nogo	13	70901.010628
524	go	13	54637.437665
525	go	13	61488.001923
526	nogo	13	47392.053638
527	go	13	57928.873804
528	nogo	13	48927.452536
529	go	14	20782.273710
530	nogo	14	30147.700196
531	go	14	43174.417752
532	go	14	23240.345352
533	nogo	14	90182.128796
534	go	14	27760.266442
535	go	14	36791.210401
536	go	14	29967.963535
537	go	14	34684.469163
538	nogo	14	24002.126424
539	go	14	35915.460460
540	nogo	14	50142.833725
541	go	14	42950.170479
542	go	14	24307.491356
543	go	14	50202.222343
544	go	14	39909.917151
545	go	14	45211.587763
546	go	14	47244.712780
547	go	14	46437.506684
548	go	14	29575.449700
549	go	14	44782.222266
550	nogo	14	39462.727958
551	go	14	46166.709318
552	go	14	38929.078731
553	go	14	33463.896824
554	nogo	14	27126.294710
555	go	14	57610.807954
556	nogo	14	48012.854994
557	go	14	49179.217744
558	nogo	14	35257.142490
559	go	14	35168.962921
560	go	14	58428.064081
561	go	14	43546.296533
562	go	14	33757.686335
563	go	14	58330.287524
564	go	14	34380.758658
565	go	14	46533.726529
566	go	14	32114.448352
567	nogo	14	41669.867198
568	go	14	37597.758150
569	nogo	14	39114.890610
570	go	14	58468.652411
571	go	14	54647.954494
572	nogo	14	39449.131278
573	go	14	45224.905735
574	go	14	45310.339995
575	go	14	30189.393907
576	go	14	37991.380789
577	go	14	42120.826917
578	go	14	24479.199132
579	go	14	61085.985728
580	go	14	41860.853832
581	go	14	46465.549505
582	go	14	36260.404243
583	go	14	35637.847478
584	go	14	41204.974273
585	go	14	41634.810022
586	go	14	33713.742937
587	nogo	14	31122.023753
588	go	14	46387.033808
