onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
10220.97	1.079	correct	learning	LS3	h93_p27_k_down_q1_left.jpg	98
10268.131	0.729	correct	learning	LS3	h44_p18_k_up_q1_right.jpg	98
10315.291	0.778	correct	learning	LS3	h93_p35_i_down_left.jpg	97
10362.452	0.78	correct	learning	LS3	h44_p20_i_up_right.jpg	97
10409.612	0.702	correct	learning	LS3	h50_p45_k_up_q3_right.jpg	98
10456.773	0.688	correct	learning	LS3	h97_p23_k_down_q2_right.jpg	98
10503.934	1.522	correct	learning	LS3	h61_p15_i_up_right.jpg	97
10550.928	0.9	correct	learning	LS3	h50_p21_i_up_right.jpg	97
10597.755	0.776	correct	learning	LS3	h61_p5_k_up_q2_right.jpg	98
10644.749	1.034	correct	learning	LS3	h97_p33_i_down_right.jpg	97
10736.904	1.031	correct	learning	LS4	h93_p48_i_down_left.jpg	97
10783.731	1.051	correct	learning	LS4	h61_p5_k_up_q2_right.jpg	98
10830.558	0.894	correct	learning	LS4	h50_p37_i_up_right.jpg	97
10877.386	0.882	correct	learning	LS4	h93_p27_k_down_q1_left.jpg	98
10924.213	1.013	correct	learning	LS4	h61_p25_i_up_left.jpg	97
10971.04	0.888	correct	learning	LS4	h44_p49_i_up_left.jpg	97
11018.201	0.683	correct	learning	LS4	h97_p35_i_down_left.jpg	97
11065.528	0.7	correct	learning	LS4	h50_p45_k_up_q3_right.jpg	98
11112.855	0.701	correct	learning	LS4	h97_p23_k_down_q2_right.jpg	98
11160.183	0.719	correct	learning	LS4	h44_p18_k_up_q1_right.jpg	98
11433.648	1.873	correct	control	LS1	h95_p32_k_down_q2_right.jpg	97
11479.808	0.647	correct	control	LS1	h50_p45_k_up_q3_right.jpg	97
11525.969	0.813	correct	control	LS1	h56_p2_i_up_left.jpg	98
11572.13	0.771	correct	control	LS1	h50_p21_i_up_right.jpg	97
11618.291	0.778	correct	control	LS1	h56_p13_k_up_q2_right.jpg	97
11664.451	0.704	correct	control	LS1	h55_p24_k_down_q4_left.jpg	98
11710.445	0.886	correct	control	LS1	h55_p11_i_down_right.jpg	97
11756.44	0.733	correct	control	LS1	h95_p31_i_down_right.jpg	97
11802.434	0.324	correct	control	LS1	h69_p20_i_down_left.jpg	98
11848.428	0.715	correct	control	LS1	h69_p34_k_down_q1_left.jpg	98
11939.583	0.907	incorrect	control	LS2	h50_p37_i_up_right.jpg	98
11985.577	0.514	correct	control	LS2	h50_p45_k_up_q3_right.jpg	97
12031.571	0.553	correct	control	LS2	h95_p32_k_down_q2_right.jpg	97
12077.565	0.624	correct	control	LS2	h56_p13_k_up_q2_right.jpg	97
12123.726	0.518	correct	control	LS2	h55_p15_i_down_left.jpg	98
12170.053	0.571	correct	control	LS2	h69_p47_i_down_right.jpg	97
12216.381	0.769	correct	control	LS2	h69_p34_k_down_q1_left.jpg	98
12262.708	0.822	correct	control	LS2	h56_p49_i_up_left.jpg	98
12309.035	0.668	incorrect	control	LS2	h55_p24_k_down_q4_left.jpg	97
12355.363	0.817	correct	control	LS2	h95_p37_i_down_left.jpg	98
12446.851	0.849	correct	control	LS3	h95_p32_k_down_q2_right.jpg	97
12493.012	0.998	correct	control	LS3	h69_p20_i_down_left.jpg	98
12539.173	0.733	correct	control	LS3	h56_p2_i_up_left.jpg	98
12585.333	0.659	correct	control	LS3	h56_p13_k_up_q2_right.jpg	97
12631.494	0.601	correct	control	LS3	h50_p45_k_up_q3_right.jpg	97
12677.655	0.671	correct	control	LS3	h50_p21_i_up_right.jpg	97
12723.815	0.565	correct	control	LS3	h95_p31_i_down_right.jpg	97
12769.976	0.827	correct	control	LS3	h69_p34_k_down_q1_left.jpg	98
12815.97	1.298	correct	control	LS3	h55_p24_k_down_q4_left.jpg	98
12861.964	0.872	correct	control	LS3	h55_p11_i_down_right.jpg	97
12953.119	1.097	correct	control	LS4	h95_p32_k_down_q2_right.jpg	97
12999.114	1.184	correct	control	LS4	h50_p37_i_up_right.jpg	97
13045.108	0.823	correct	control	LS4	h56_p13_k_up_q2_right.jpg	97
13091.102	0.606	correct	control	LS4	h50_p45_k_up_q3_right.jpg	97
13137.096	0.869	correct	control	LS4	h69_p47_i_down_right.jpg	97
13183.09	0.827	correct	control	LS4	h55_p15_i_down_left.jpg	98
13229.084	0.61	correct	control	LS4	h69_p34_k_down_q1_left.jpg	98
13275.411	0.648	correct	control	LS4	h56_p49_i_up_left.jpg	98
13321.739	0.557	correct	control	LS4	h95_p37_i_down_left.jpg	98
13368.066	0.546	correct	control	LS4	h55_p24_k_down_q4_left.jpg	98
13640.864	0.6	incorrect	learning	LS1	h57_p15_i_down_left.jpg	98
13688.025	0.938	incorrect	learning	LS1	h24_p20_i_up_right.jpg	98
13735.186	1.436	incorrect	learning	LS1	h26_p43_i_up_right.jpg	98
13782.346	2.094	incorrect	learning	LS1	h27_p8_k_up_q1_left.jpg	97
13829.507	1.376	correct	learning	LS1	h24_p40_k_up_q4_left.jpg	98
13876.668	1.042	correct	learning	LS1	h27_p10_i_up_left.jpg	97
13923.828	1.796	incorrect	learning	LS1	h102_p20_i_down_left.jpg	98
13970.655	1.623	incorrect	learning	LS1	h26_p20_k_up_q2_right.jpg	97
14017.649	0.81	correct	learning	LS1	h102_p40_k_down_q2_right.jpg	98
14064.477	0.894	correct	learning	LS1	h57_p36_k_down_q1_left.jpg	98
14156.465	0.699	correct	learning	LS2	h57_p36_k_down_q1_left.jpg	98
14203.292	0.814	correct	learning	LS2	h102_p43_i_down_left.jpg	97
14250.12	1.058	correct	learning	LS2	h24_p48_i_up_right.jpg	97
14296.947	1.045	correct	learning	LS2	h27_p34_i_up_right.jpg	97
14343.774	0.953	correct	learning	LS2	h26_p20_k_up_q2_right.jpg	98
14390.935	0.923	incorrect	learning	LS2	h24_p40_k_up_q4_left.jpg	97
14438.096	0.845	correct	learning	LS2	h27_p8_k_up_q1_left.jpg	98
14485.423	0.766	correct	learning	LS2	h102_p40_k_down_q2_right.jpg	98
14532.75	0.896	correct	learning	LS2	h26_p48_i_up_right.jpg	97
14580.077	1.073	correct	learning	LS2	h57_p34_i_down_left.jpg	97
14672.399	1.005	correct	learning	LS3	h27_p10_i_up_left.jpg	97
14719.559	1.135	correct	learning	LS3	h26_p43_i_up_right.jpg	97
14766.72	0.977	correct	learning	LS3	h24_p40_k_up_q4_left.jpg	98
14813.881	1.971	incorrect	learning	LS3	h57_p15_i_down_left.jpg	98
14861.041	1.381	correct	learning	LS3	h102_p40_k_down_q2_right.jpg	98
14908.035	0.856	correct	learning	LS3	h24_p20_i_up_right.jpg	97
14955.196	0.634	correct	learning	LS3	h26_p20_k_up_q2_right.jpg	98
15002.356	0.844	correct	learning	LS3	h102_p20_i_down_left.jpg	97
15049.517	0.99	correct	learning	LS3	h27_p8_k_up_q1_left.jpg	98
15096.511	0.833	correct	learning	LS3	h57_p36_k_down_q1_left.jpg	98
15188.499	0.687	correct	learning	LS4	h57_p36_k_down_q1_left.jpg	98
15235.493	0.754	correct	learning	LS4	h27_p34_i_up_right.jpg	97
15282.321	0.789	correct	learning	LS4	h57_p34_i_down_left.jpg	97
15329.315	0.936	correct	learning	LS4	h24_p40_k_up_q4_left.jpg	98
15376.142	1.035	correct	learning	LS4	h26_p48_i_up_right.jpg	97
15422.969	0.782	correct	learning	LS4	h102_p40_k_down_q2_right.jpg	98
15469.796	0.818	correct	learning	LS4	h26_p20_k_up_q2_right.jpg	98
