onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
784.650	11.983	11983.0	learning	LS1	PICTURE_610.jpg	i	n/a
796.633	10.234	10234.0	learning	LS1	PICTURE_741.jpg	c	n/a
806.867	12.479	12479.0	learning	LS1	PICTURE_247.jpg	c	n/a
819.346	10.571	10571.0	learning	LS1	PICTURE_599.jpg	i	n/a
829.917	9.301	9301.0	learning	LS1	PICTURE_247.jpg	i	n/a
839.218	9.468	9468.0	learning	LS1	PICTURE_610.jpg	c	n/a
848.686	9.824	9824.0	learning	LS2	PICTURE_610.jpg	i	n/a
858.510	10.314	10314.0	learning	LS2	PICTURE_599.jpg	c	n/a
868.824	9.844	9844.0	learning	LS2	PICTURE_610.jpg	c	n/a
878.668	8.417	8417.0	learning	LS2	PICTURE_43.jpg	c	n/a
887.085	7.785	7785.0	learning	LS2	PICTURE_599.jpg	i	n/a
894.870	8.913	8913.0	learning	LS2	PICTURE_741.jpg	c	n/a
903.783	10.202	10202.0	learning	LS2	PICTURE_247.jpg	c	n/a
913.985	7.655	7655.0	learning	LS2	PICTURE_43.jpg	i	n/a
921.640	8.461	8461.0	learning	LS2	PICTURE_247.jpg	i	n/a
930.101	8.789	8789.0	learning	LS2	PICTURE_741.jpg	i	n/a
938.890	8.187	8187.0	learning	LS3	PICTURE_741.jpg	i	n/a
947.077	10.426	10426.0	learning	LS3	PICTURE_247.jpg	c	n/a
957.503	7.399	7399.0	learning	LS3	PICTURE_599.jpg	c	n/a
964.902	9.163	9163.0	learning	LS3	PICTURE_610.jpg	c	n/a
974.065	7.730	7730.0	learning	LS3	PICTURE_599.jpg	i	n/a
981.795	8.219	8219.0	learning	LS3	PICTURE_247.jpg	i	n/a
990.014	8.069	8069.0	learning	LS3	PICTURE_43.jpg	i	n/a
998.083	7.757	7757.0	learning	LS3	PICTURE_610.jpg	i	n/a
1005.840	8.242	8242.0	learning	LS3	PICTURE_741.jpg	c	n/a
1014.082	8.732	8732.0	learning	LS3	PICTURE_43.jpg	c	n/a
1022.814	8.610	8610.0	learning	LS4	PICTURE_610.jpg	c	n/a
1031.424	8.620	8620.0	learning	LS4	PICTURE_247.jpg	i	n/a
1040.044	6.871	6871.0	learning	LS4	PICTURE_599.jpg	c	n/a
1046.915	6.560	6560.0	learning	LS4	PICTURE_43.jpg	c	n/a
1053.475	7.530	7530.0	learning	LS4	PICTURE_599.jpg	i	n/a
1061.005	6.735	6735.0	learning	LS4	PICTURE_741.jpg	c	n/a
1067.740	7.541	7541.0	learning	LS4	PICTURE_610.jpg	i	n/a
1075.281	6.912	6912.0	learning	LS4	PICTURE_43.jpg	i	n/a
1082.193	8.357	8357.0	learning	LS4	PICTURE_247.jpg	c	n/a
1090.550	10.759	10759.0	learning	LS4	PICTURE_741.jpg	i	n/a
1101.309	10.606	10606.0	learning	LS1	PICTURE_405.jpg	i	n/a
1111.915	9.494	9494.0	learning	LS1	PICTURE_402.jpg	i	n/a
1121.409	9.342	9342.0	learning	LS1	PICTURE_21.jpg	i	n/a
1130.751	12.228	12228.0	learning	LS1	PICTURE_400.jpg	c	n/a
1142.979	9.518	9518.0	learning	LS1	PICTURE_462.jpg	i	n/a
1152.497	9.206	9206.0	learning	LS1	PICTURE_400.jpg	i	n/a
1161.703	11.450	11450.0	learning	LS1	PICTURE_21.jpg	c	n/a
1173.153	9.864	9864.0	learning	LS1	PICTURE_402.jpg	c	n/a
1183.017	8.273	8273.0	learning	LS1	PICTURE_405.jpg	c	n/a
1191.290	10.517	10517.0	learning	LS1	PICTURE_462.jpg	c	n/a
1201.807	9.277	9277.0	learning	LS2	PICTURE_405.jpg	i	n/a
1211.084	9.443	9443.0	learning	LS2	PICTURE_21.jpg	i	n/a
1220.527	10.092	10092.0	learning	LS2	PICTURE_400.jpg	i	n/a
1230.619	7.861	7861.0	learning	LS2	PICTURE_405.jpg	c	n/a
1238.480	8.668	8668.0	learning	LS2	PICTURE_462.jpg	c	n/a
1247.148	8.833	8833.0	learning	LS2	PICTURE_402.jpg	c	n/a
1255.981	11.076	11076.0	learning	LS2	PICTURE_462.jpg	i	n/a
1267.057	8.365	8365.0	learning	LS2	PICTURE_21.jpg	c	n/a
1275.422	17.955	17955.0	learning	LS2	PICTURE_400.jpg	c	n/a
1293.377	8.376	8376.0	learning	LS2	PICTURE_402.jpg	i	n/a
1301.753	8.256	8256.0	learning	LS3	PICTURE_405.jpg	i	n/a
1310.009	8.583	8583.0	learning	LS3	PICTURE_21.jpg	i	n/a
1318.592	8.428	8428.0	learning	LS3	PICTURE_400.jpg	c	n/a
1327.020	8.596	8596.0	learning	LS3	PICTURE_21.jpg	c	n/a
1335.616	9.243	9243.0	learning	LS3	PICTURE_402.jpg	c	n/a
