onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
873.707	13.870	0	learning	LS1	PICTURE_605.jpg	i
887.577	7.326	1	learning	LS2	PICTURE_52.jpg	c
894.903	7.567	1	learning	LS2	PICTURE_581.jpg	c
902.470	6.681	1	learning	LS2	PICTURE_605.jpg	c
909.151	13.638	0	learning	LS2	PICTURE_52.jpg	i
922.789	9.713	1	learning	LS2	PICTURE_594.jpg	i
932.502	12.492	1	learning	LS2	PICTURE_581.jpg	i
944.994	11.433	1	learning	LS2	PICTURE_594.jpg	c
956.427	14.053	0	learning	LS2	PICTURE_576.jpg	i
970.480	13.953	1	learning	LS2	PICTURE_605.jpg	i
984.433	11.294	1	learning	LS2	PICTURE_576.jpg	c
995.727	7.461	1	learning	LS3	PICTURE_581.jpg	c
1003.188	10.095	1	learning	LS3	PICTURE_576.jpg	c
1013.283	6.969	1	learning	LS3	PICTURE_605.jpg	i
1020.252	9.921	1	learning	LS3	PICTURE_594.jpg	i
1030.173	10.314	1	learning	LS3	PICTURE_581.jpg	i
1040.487	7.508	1	learning	LS3	PICTURE_52.jpg	c
1047.995	7.580	1	learning	LS3	PICTURE_576.jpg	i
1055.575	6.845	1	learning	LS3	PICTURE_594.jpg	c
1062.420	11.724	0	learning	LS3	PICTURE_52.jpg	i
1074.144	7.799	1	learning	LS3	PICTURE_605.jpg	c
1081.943	7.180	1	learning	LS4	PICTURE_594.jpg	i
1089.123	10.298	1	learning	LS4	PICTURE_581.jpg	i
1099.421	8.460	1	learning	LS4	PICTURE_605.jpg	i
1107.881	7.100	1	learning	LS4	PICTURE_581.jpg	c
1114.981	9.259	1	learning	LS4	PICTURE_576.jpg	c
1124.240	7.253	1	learning	LS4	PICTURE_594.jpg	c
1131.493	9.251	1	learning	LS4	PICTURE_52.jpg	c
1140.744	7.231	1	learning	LS4	PICTURE_605.jpg	c
1147.975	6.811	1	learning	LS4	PICTURE_52.jpg	i
1154.786	6.870	1	learning	LS4	PICTURE_576.jpg	i
1161.656	15.559	1	learning	LS1	PICTURE_95.jpg	c
1177.215	14.512	0	learning	LS1	PICTURE_15.jpg	c
1191.727	14.105	0	learning	LS1	PICTURE_488.jpg	c
1205.832	10.020	0	learning	LS1	PICTURE_480.jpg	i
1215.852	11.694	0	learning	LS1	PICTURE_15.jpg	i
1227.546	17.525	1	learning	LS1	PICTURE_508.jpg	c
1245.071	9.602	0	learning	LS1	PICTURE_95.jpg	i
1254.673	9.202	1	learning	LS1	PICTURE_488.jpg	i
1263.875	15.360	1	learning	LS1	PICTURE_480.jpg	c
1279.235	9.042	1	learning	LS1	PICTURE_508.jpg	i
1288.277	8.902	0	learning	LS2	PICTURE_488.jpg	i
1297.179	8.983	1	learning	LS2	PICTURE_508.jpg	c
1306.162	10.335	1	learning	LS2	PICTURE_15.jpg	i
1316.497	8.335	0	learning	LS2	PICTURE_480.jpg	i
1324.832	13.533	1	learning	LS2	PICTURE_95.jpg	c
1338.365	14.406	1	learning	LS2	PICTURE_15.jpg	c
1352.771	6.630	1	learning	LS2	PICTURE_488.jpg	c
1359.401	7.491	1	learning	LS2	PICTURE_508.jpg	i
1366.892	13.468	1	learning	LS2	PICTURE_95.jpg	i
1380.360	7.290	1	learning	LS2	PICTURE_480.jpg	c
1387.650	8.404	1	learning	LS3	PICTURE_15.jpg	c
1396.054	11.349	1	learning	LS3	PICTURE_95.jpg	c
1407.403	9.983	1	learning	LS3	PICTURE_488.jpg	c
1417.386	10.217	1	learning	LS3	PICTURE_15.jpg	i
1427.603	8.051	1	learning	LS3	PICTURE_480.jpg	i
1435.654	10.044	1	learning	LS3	PICTURE_95.jpg	i
1445.698	7.238	1	learning	LS3	PICTURE_508.jpg	c
1452.936	11.629	1	learning	LS3	PICTURE_488.jpg	i
1464.565	7.071	1	learning	LS3	PICTURE_508.jpg	i
1471.636	9.391	1	learning	LS3	PICTURE_480.jpg	c
1481.027	12.443	1	learning	LS4	PICTURE_95.jpg	c
1493.470	7.405	1	learning	LS4	PICTURE_508.jpg	c
1500.875	9.724	1	learning	LS4	PICTURE_488.jpg	c
1510.599	14.122	1	learning	LS4	PICTURE_95.jpg	i
1524.721	7.964	1	learning	LS4	PICTURE_480.jpg	i
1532.685	7.245	1	learning	LS4	PICTURE_15.jpg	i
1539.930	6.845	1	learning	LS4	PICTURE_508.jpg	i
1546.775	5.966	1	learning	LS4	PICTURE_480.jpg	c
