onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
738.257	8.069	correct	learning	LS4	PICTURE_581.jpg	c	hit
746.326	10.956	correct	learning	LS4	PICTURE_594.jpg	c	hit
757.282	9.368	correct	learning	LS4	PICTURE_576.jpg	i	correct rejection
766.650	8.100	correct	learning	LS4	PICTURE_581.jpg	i	correct rejection
774.750	7.153	correct	learning	LS4	PICTURE_52.jpg	c	hit
781.903	7.487	correct	control	LS1	PICTURE_718.jpg	c	hit
789.390	6.378	correct	control	LS1	PICTURE_2.jpg	c	hit
795.768	8.944	correct	control	LS1	PICTURE_292.jpg	i	correct rejection
804.712	8.313	correct	control	LS1	PICTURE_286.jpg	i	correct rejection
813.025	7.045	correct	control	LS1	PICTURE_292.jpg	c	hit
820.070	9.136	correct	control	LS1	PICTURE_718.jpg	i	correct rejection
829.206	8.346	correct	control	LS1	PICTURE_430.jpg	i	correct rejection
837.552	9.631	correct	control	LS1	PICTURE_286.jpg	c	hit
847.183	8.203	correct	control	LS1	PICTURE_2.jpg	i	correct rejection
855.386	7.093	correct	control	LS1	PICTURE_430.jpg	c	hit
862.479	9.052	correct	control	LS2	PICTURE_286.jpg	i	correct rejection
871.531	7.304	correct	control	LS2	PICTURE_292.jpg	c	hit
878.835	9.388	correct	control	LS2	PICTURE_718.jpg	i	correct rejection
888.223	7.643	correct	control	LS2	PICTURE_2.jpg	c	hit
895.866	8.292	correct	control	LS2	PICTURE_430.jpg	i	correct rejection
904.158	8.466	correct	control	LS2	PICTURE_292.jpg	i	correct rejection
912.624	6.080	correct	control	LS2	PICTURE_430.jpg	c	hit
918.704	5.929	correct	control	LS2	PICTURE_718.jpg	c	hit
924.633	7.697	correct	control	LS2	PICTURE_286.jpg	c	hit
932.330	8.030	correct	control	LS2	PICTURE_2.jpg	i	correct rejection
940.360	9.187	correct	control	LS3	PICTURE_731.jpg	c	hit
949.547	6.642	correct	control	LS3	PICTURE_733.jpg	c	hit
956.189	6.807	correct	control	LS3	PICTURE_645.jpg	c	hit
962.996	8.414	correct	control	LS3	PICTURE_98.jpg	c	hit
971.410	9.382	correct	control	LS3	PICTURE_645.jpg	i	correct rejection
980.792	8.263	correct	control	LS3	PICTURE_134.jpg	c	hit
989.055	9.548	correct	control	LS3	PICTURE_98.jpg	i	correct rejection
998.603	8.440	correct	control	LS3	PICTURE_134.jpg	i	correct rejection
1007.043	7.967	correct	control	LS3	PICTURE_731.jpg	i	correct rejection
1015.010	7.659	correct	control	LS3	PICTURE_733.jpg	i	correct rejection
1022.669	7.380	correct	control	LS4	PICTURE_733.jpg	c	hit
1030.049	8.507	correct	control	LS4	PICTURE_134.jpg	i	correct rejection
1038.556	8.674	correct	control	LS4	PICTURE_731.jpg	i	correct rejection
1047.230	7.401	correct	control	LS4	PICTURE_645.jpg	i	correct rejection
1054.631	6.772	correct	control	LS4	PICTURE_731.jpg	c	hit
1061.403	6.943	correct	control	LS4	PICTURE_733.jpg	i	correct rejection
1068.346	6.634	correct	control	LS4	PICTURE_645.jpg	c	hit
1074.980	6.324	correct	control	LS4	PICTURE_98.jpg	c	hit
1081.304	9.051	correct	control	LS4	PICTURE_134.jpg	c	hit
1090.355	7.461	correct	control	LS4	PICTURE_98.jpg	i	correct rejection
1097.816	11.143	incorrect	learning	LS1	PICTURE_402.jpg	i	false alarm
1108.959	9.388	incorrect	learning	LS1	PICTURE_462.jpg	i	false alarm
1118.347	11.636	incorrect	learning	LS1	PICTURE_21.jpg	i	false alarm
1129.983	11.323	incorrect	learning	LS1	PICTURE_400.jpg	i	false alarm
1141.306	11.491	correct	learning	LS1	PICTURE_405.jpg	c	hit
1152.797	9.586	correct	learning	LS1	PICTURE_400.jpg	c	hit
1162.383	13.915	incorrect	learning	LS1	PICTURE_405.jpg	i	false alarm
1176.298	15.680	correct	learning	LS1	PICTURE_462.jpg	c	hit
1191.978	9.458	correct	learning	LS1	PICTURE_21.jpg	c	hit
1201.436	14.099	correct	learning	LS1	PICTURE_402.jpg	c	hit
1215.535	13.493	correct	learning	LS2	PICTURE_462.jpg	i	correct rejection
1229.028	8.387	correct	learning	LS2	PICTURE_402.jpg	c	hit
1237.415	12.390	correct	learning	LS2	PICTURE_405.jpg	i	correct rejection
1249.805	10.644	correct	learning	LS2	PICTURE_402.jpg	i	correct rejection
1260.449	7.139	correct	learning	LS2	PICTURE_21.jpg	c	hit
1267.588	8.107	correct	learning	LS2	PICTURE_405.jpg	c	hit
1275.695	11.153	incorrect	learning	LS2	PICTURE_462.jpg	c	miss
1286.848	18.511	correct	learning	LS2	PICTURE_400.jpg	i	correct rejection
1305.359	8.933	correct	learning	LS2	PICTURE_21.jpg	i	correct rejection
1314.292	6.708	correct	learning	LS2	PICTURE_400.jpg	c	hit
1321.000	9.305	correct	learning	LS3	PICTURE_405.jpg	c	hit
1330.305	8.516	correct	learning	LS3	PICTURE_402.jpg	i	correct rejection
1338.821	8.682	correct	learning	LS3	PICTURE_462.jpg	c	hit
1347.503	8.693	correct	learning	LS3	PICTURE_405.jpg	i	correct rejection
1356.196	6.306	correct	learning	LS3	PICTURE_402.jpg	c	hit
1362.502	9.351	correct	learning	LS3	PICTURE_21.jpg	i	correct rejection
1371.853	6.800	correct	learning	LS3	PICTURE_400.jpg	c	hit
1378.653	8.724	correct	learning	LS3	PICTURE_21.jpg	c	hit
1387.377	7.773	correct	learning	LS3	PICTURE_462.jpg	i	correct rejection
1395.150	9.858	correct	learning	LS3	PICTURE_400.jpg	i	correct rejection
1405.008	9.254	correct	learning	LS4	PICTURE_462.jpg	i	correct rejection
1414.262	10.223	correct	learning	LS4	PICTURE_400.jpg	i	correct rejection
1424.485	9.751	correct	learning	LS4	PICTURE_402.jpg	i	correct rejection
1434.236	6.724	correct	learning	LS4	PICTURE_405.jpg	c	hit
1440.960	7.846	correct	learning	LS4	PICTURE_462.jpg	c	hit
1448.806	7.057	correct	learning	LS4	PICTURE_402.jpg	c	hit
1455.863	7.062	correct	learning	LS4	PICTURE_21.jpg	c	hit
1462.925	8.668	correct	learning	LS4	PICTURE_405.jpg	i	correct rejection
